campus_code,dept_code,dept_name,course_count,ok_course_count,not_found_course_count,error_course_count
H0002256,H0002936,STS(과학기술학)전공,51,50,1,0
H0002256,H0004816,간호학과,109,80,29,0
H0002256,H0004132,간호학과,120,76,44,0
H0002256,H0004817,간호학과(야),44,39,5,1
H0002256,H0004133,간호학과(야),54,36,18,1
H0002256,H0003620,간호학전공,86,44,42,0
H0002256,H0003621,간호학전공(야),56,38,18,1
H0002256,H0002517,건설환경공학과,90,85,5,0
H0002256,H0002521,건축공학부,79,74,5,0
H0002256,H0002886,건축학부,89,87,2,0
H0002256,H0005007,경영공학전공,40,25,15,0
H0002256,H0005239,경영공학전공,40,25,15,0
H0002256,H0002894,경영학부,140,131,9,0
H0002256,H0002933,경제금융학부,87,84,3,0
H0002256,H0003886,고전읽기융합전공,21,21,0,0
H0002256,H0002937,공공수행인문학전공,54,54,0,0
H0002256,H0002839,관광학부,96,92,4,0
H0002256,H0002740,관현악과,133,131,2,0
H0002256,H0002723,교육공학과,118,105,13,0
H0002256,H0002718,교육학과,101,92,9,0
H0002256,H0002741,국악과,184,179,5,0
H0002256,H0002719,국어교육과,99,95,4,0
H0002256,H0002794,국어국문학과,79,74,5,0
H0002256,H0002920,국제학부,99,46,53,0
H0002256,H0005063,국제학부,59,48,11,0
H0002256,H0004738,국제학전공,54,45,9,0
H0002256,H0004360,글로벌 CEO 창업 융합전공,29,25,4,0
H0002256,H0002943,글로벌비즈니스문화전공(영어전용),16,14,2,0
H0002256,H0005064,글로벌콘텐츠융합학부,56,38,18,0
H0002256,H0004739,글로벌한국학전공,44,29,15,0
H0002256,H0004744,데이터사이언스전공,42,33,9,0
H0002256,H0004450,데이터사이언스학과,46,35,11,0
H0002256,H0004707,데이터사이언스학부,22,21,1,0
H0002256,H0005012,데이터융합서비스디자인융합전공,42,18,24,0
H0002256,H0002570,도시공학과,90,85,5,0
H0002256,H0002801,독어독문학과,105,96,9,0
H0002256,H0005010,디지털혁신전략융합전공,41,18,23,0
H0002256,H0003590,무용학과,115,110,5,0
H0002256,H0003561,물리학과,72,67,5,0
H0002256,H0002938,미디어문화전공,15,15,0,0
H0002256,H0002841,미디어커뮤니케이션전공,50,47,3,0
H0002256,H0003665,미디어커뮤니케이션학과,83,79,4,0
H0002256,H0004157,미래인문학융합전공,25,25,0,0
H0002256,H0004800,미래자동차기술융합전공,73,70,3,0
H0002256,H0004713,미래전기에너지신기술융합전공,44,3,41,0
H0002256,H0004701,바이오메디컬공학전공,61,57,4,0
H0002256,H0004397,바이오소프트웨어융합전공,2,0,2,0
H0002256,H0004761,반도체공학과,68,58,10,0
H0002256,H0004770,배터리융합전공,3,0,3,0
H0002256,H0003542,법학과,90,89,1,0
H0002256,H0004322,빅데이터융합전공,19,17,2,0
H0002256,H0002814,사학과,78,76,2,0
H0002256,H0002834,사회과학부,19,17,2,0
H0002256,H0003664,사회학과,68,64,4,0
H0002256,H0002837,사회학전공,44,40,4,0
H0002256,H0004318,사회혁신융합전공,38,28,10,0
H0002256,H0003958,산업융합학부,13,10,3,0
H0002256,H0005238,산업융합학부,11,10,1,0
H0002256,H0003563,생명과학과,129,122,7,0
H0002256,H0002567,생체공학전공,70,68,2,0
H0002256,H0002256,서울 대학,1420,1057,363,0
H0002256,H0002737,성악과,138,135,3,0
H0002256,H0002518,소프트웨어전공,88,84,4,0
H0002256,H0003560,수학과,83,76,7,0
H0002256,H0002725,수학교육과,92,87,5,0
H0002256,H0002813,수행인문학부,2,2,0,0
H0002256,H0004700,스포츠매니지먼트전공,61,58,3,0
H0002256,H0004708,스포츠사이언스전공,84,79,5,0
H0002256,H0003588,스포츠산업학과,94,91,3,0
H0002256,H0003584,식품영양학과,59,57,2,0
H0002256,H0003585,실내건축디자인학과,80,73,7,0
H0002256,H0004471,심리뇌과학과,39,34,5,0
H0002256,H0004743,심리뇌과학전공,43,32,11,0
H0002256,H0003589,연극영화학과,147,145,2,0
H0002256,H0002720,영어교육과,98,89,9,0
H0002256,H0002800,영어영문학과,100,93,7,0
H0002256,H0002939,영어커뮤니케이션전공,21,17,4,0
H0002256,H0004361,예술융합소프트웨어 융합전공,10,9,1,0
H0002256,H0002575,융합전자공학부,105,98,7,0
H0002256,H0002722,응용미술교육과,117,114,3,0
H0002256,H0003960,응용시스템전공,72,37,35,0
H0002256,H0003583,의류학과,77,72,5,0
H0002256,H0002599,의예과,98,92,6,0
H0002256,H0002601,의학과,84,81,3,0
